2007-1-1,200701,2007,1,1,3,1,1,1,1
2007-1-2,200701,2007,1,2,4,1,1,1,1
2007-1-3,200701,2007,1,3,5,1,1,1,1
2007-1-4,200701,2007,1,4,6,1,1,1,1
2007-1-5,200701,2007,1,5,7,1,1,1,1
2007-1-6,200701,2007,1,6,1,2,1,1,1
2007-1-7,200701,2007,1,7,2,2,1,1,1
2007-1-8,200701,2007,1,8,3,2,1,1,1
2007-1-9,200701,2007,1,9,4,2,1,1,1
2007-1-10,200701,2007,1,10,5,2,1,1,1
2007-1-11,200701,2007,1,11,6,2,1,2,1
2007-1-12,200701,2007,1,12,7,2,1,2,1
2007-1-13,200701,2007,1,13,1,3,1,2,1
2007-1-14,200701,2007,1,14,2,3,1,2,1
2007-1-15,200701,2007,1,15,3,3,1,2,1
2007-1-16,200701,2007,1,16,4,3,1,2,2
2007-1-17,200701,2007,1,17,5,3,1,2,2
2007-1-18,200701,2007,1,18,6,3,1,2,2
2007-1-19,200701,2007,1,19,7,3,1,2,2
2007-1-20,200701,2007,1,20,1,4,1,2,2
